NADH:99 | NAD:101 | FADH2:99 | FAD:101 | ADP:99 | ATP:11 | O2:99 | H2O:102
NADH:100 | NAD:101 | FADH2:99 | FAD:101 | ADP:98 | ATP:12 | O2:98 | H2O:104
NADH:101 | NAD:101 | FADH2:99 | FAD:101 | ADP:97 | ATP:13 | O2:97 | H2O:106
NADH:102 | NAD:101 | FADH2:99 | FAD:101 | ADP:96 | ATP:14 | O2:96 | H2O:108
NADH:103 | NAD:101 | FADH2:99 | FAD:101 | ADP:95 | ATP:15 | O2:95 | H2O:110
NADH:104 | NAD:101 | FADH2:99 | FAD:101 | ADP:94 | ATP:16 | O2:94 | H2O:112
NADH:105 | NAD:101 | FADH2:99 | FAD:101 | ADP:93 | ATP:17 | O2:93 | H2O:114
NADH:106 | NAD:101 | FADH2:99 | FAD:101 | ADP:92 | ATP:18 | O2:92 | H2O:116
NADH:107 | NAD:101 | FADH2:99 | FAD:101 | ADP:91 | ATP:19 | O2:91 | H2O:118
NADH:108 | NAD:101 | FADH2:99 | FAD:101 | ADP:90 | ATP:20 | O2:90 | H2O:120
NADH:109 | NAD:101 | FADH2:99 | FAD:101 | ADP:89 | ATP:21 | O2:89 | H2O:122
NADH:110 | NAD:101 | FADH2:99 | FAD:101 | ADP:88 | ATP:22 | O2:88 | H2O:124
NADH:111 | NAD:101 | FADH2:99 | FAD:101 | ADP:87 | ATP:23 | O2:87 | H2O:126
NADH:112 | NAD:101 | FADH2:99 | FAD:101 | ADP:86 | ATP:24 | O2:86 | H2O:128
NADH:113 | NAD:101 | FADH2:99 | FAD:101 | ADP:85 | ATP:25 | O2:85 | H2O:130
NADH:114 | NAD:101 | FADH2:99 | FAD:101 | ADP:84 | ATP:26 | O2:84 | H2O:132
NADH:115 | NAD:101 | FADH2:99 | FAD:101 | ADP:83 | ATP:27 | O2:83 | H2O:134
NADH:116 | NAD:101 | FADH2:99 | FAD:101 | ADP:82 | ATP:28 | O2:82 | H2O:136
NADH:117 | NAD:101 | FADH2:99 | FAD:101 | ADP:81 | ATP:29 | O2:81 | H2O:138
NADH:118 | NAD:101 | FADH2:99 | FAD:101 | ADP:80 | ATP:30 | O2:80 | H2O:140
NADH:119 | NAD:101 | FADH2:99 | FAD:101 | ADP:79 | ATP:31 | O2:79 | H2O:142
NADH:120 | NAD:101 | FADH2:99 | FAD:101 | ADP:78 | ATP:32 | O2:78 | H2O:144
NADH:121 | NAD:101 | FADH2:99 | FAD:101 | ADP:77 | ATP:33 | O2:77 | H2O:146
NADH:122 | NAD:101 | FADH2:99 | FAD:101 | ADP:76 | ATP:34 | O2:76 | H2O:148
NADH:123 | NAD:101 | FADH2:99 | FAD:101 | ADP:75 | ATP:35 | O2:75 | H2O:150
NADH:124 | NAD:101 | FADH2:99 | FAD:101 | ADP:74 | ATP:36 | O2:74 | H2O:152
NADH:125 | NAD:101 | FADH2:99 | FAD:101 | ADP:73 | ATP:37 | O2:73 | H2O:154
NADH:126 | NAD:101 | FADH2:99 | FAD:101 | ADP:72 | ATP:38 | O2:72 | H2O:156
NADH:127 | NAD:101 | FADH2:99 | FAD:101 | ADP:71 | ATP:39 | O2:71 | H2O:158
NADH:128 | NAD:101 | FADH2:99 | FAD:101 | ADP:70 | ATP:40 | O2:70 | H2O:160
NADH:129 | NAD:101 | FADH2:99 | FAD:101 | ADP:69 | ATP:41 | O2:69 | H2O:162
NADH:130 | NAD:101 | FADH2:99 | FAD:101 | ADP:68 | ATP:42 | O2:68 | H2O:164
NADH:131 | NAD:101 | FADH2:99 | FAD:101 | ADP:67 | ATP:43 | O2:67 | H2O:166
NADH:132 | NAD:101 | FADH2:99 | FAD:101 | ADP:66 | ATP:44 | O2:66 | H2O:168
NADH:133 | NAD:101 | FADH2:99 | FAD:101 | ADP:65 | ATP:45 | O2:65 | H2O:170
NADH:134 | NAD:101 | FADH2:99 | FAD:101 | ADP:64 | ATP:46 | O2:64 | H2O:172
NADH:135 | NAD:101 | FADH2:99 | FAD:101 | ADP:63 | ATP:47 | O2:63 | H2O:174
NADH:136 | NAD:101 | FADH2:99 | FAD:101 | ADP:62 | ATP:48 | O2:62 | H2O:176
NADH:137 | NAD:101 | FADH2:99 | FAD:101 | ADP:61 | ATP:49 | O2:61 | H2O:178
NADH:138 | NAD:101 | FADH2:99 | FAD:101 | ADP:60 | ATP:50 | O2:60 | H2O:180
NADH:139 | NAD:101 | FADH2:99 | FAD:101 | ADP:59 | ATP:51 | O2:59 | H2O:182
NADH:140 | NAD:101 | FADH2:99 | FAD:101 | ADP:58 | ATP:52 | O2:58 | H2O:184
NADH:141 | NAD:101 | FADH2:99 | FAD:101 | ADP:57 | ATP:53 | O2:57 | H2O:186
NADH:142 | NAD:101 | FADH2:99 | FAD:101 | ADP:56 | ATP:54 | O2:56 | H2O:188
NADH:143 | NAD:101 | FADH2:99 | FAD:101 | ADP:55 | ATP:55 | O2:55 | H2O:190
NADH:144 | NAD:101 | FADH2:99 | FAD:101 | ADP:54 | ATP:56 | O2:54 | H2O:192
NADH:145 | NAD:101 | FADH2:99 | FAD:101 | ADP:53 | ATP:57 | O2:53 | H2O:194
NADH:146 | NAD:101 | FADH2:99 | FAD:101 | ADP:52 | ATP:58 | O2:52 | H2O:196
NADH:147 | NAD:101 | FADH2:99 | FAD:101 | ADP:51 | ATP:59 | O2:51 | H2O:198
NADH:148 | NAD:101 | FADH2:99 | FAD:101 | ADP:50 | ATP:60 | O2:50 | H2O:200
